
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __L/D,ratio |   ___cl,total |   ___cd,total |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   hstab,_lift |   hstab,_lift |   vstb1,_lift |   vstb2,_lift | 
     37.17786 |      31.31563 |      31.31563 |       0.00000 |      20.55782 |      15.55781 |     299.93591 |      -0.00001 |       0.00003 |       0.00003 |       0.00003 |      -0.00001 |       0.00003 |       0.00003 |       2.28638 |      -0.20232 |     118.15321 |     131.07028 |     131.00919 |      12.91708 |     -87.71360 |      -0.20216 |     180.00000 |       0.07992 |      -0.00001 |      -0.52904 |     -72.27142 |     136.60921 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     38.17992 |      32.32444 |      32.32444 |       0.00000 |      20.55811 |      15.55811 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00001 |       0.00001 |       2.28684 |      -0.20244 |     118.15321 |     131.07028 |     131.00919 |      12.91708 |     -87.71314 |      -0.20228 |     180.00000 |       0.02422 |      -0.00000 |      -0.19919 |    1168.98889 |   -5868.72314 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     39.17711 |      33.32276 |      33.32276 |       0.00000 |      20.55841 |      15.55841 |     299.93591 |      -0.00001 |       0.00004 |       0.00004 |       0.00004 |      -0.00001 |       0.00004 |       0.00004 |       2.28639 |      -0.20233 |     118.15321 |     131.07028 |     131.00919 |      12.91708 |      92.28640 |       0.20217 |     180.00000 |      -0.10381 |      -0.00000 |      -0.58800 |      32.77608 |     -55.74200 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     40.17749 |      34.32362 |      34.32362 |       0.00000 |      20.55871 |      15.55871 |     299.93591 |      -0.00001 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |       0.00000 |       0.00000 |       2.28658 |      -0.20246 |     118.15322 |     131.07030 |     131.00919 |      12.91708 |      92.28659 |       0.20230 |     180.00000 |      -0.00206 |      -0.00000 |      -0.17643 |  164782.48438 | -933990.87500 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     41.17783 |      35.32410 |      35.32410 |       0.00000 |      20.55899 |      15.55899 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00001 |       0.00001 |       2.28622 |      -0.20224 |     118.15324 |     131.07031 |     131.00919 |      12.91708 |      92.28622 |       0.20208 |     180.00000 |      -0.01999 |      -0.00000 |      -0.41356 |     602.33142 |   -1456.43848 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     42.18360 |      36.32954 |      36.32954 |       0.00000 |      20.55927 |      15.55927 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00001 |       0.00001 |       2.28641 |      -0.20225 |     118.15325 |     131.07033 |     131.00919 |      12.91708 |     -87.71357 |      -0.20209 |     180.00000 |       0.03533 |      -0.00000 |      -0.11934 |     343.03943 |   -2874.50903 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     43.19876 |      37.32878 |      37.32878 |       0.00000 |      20.55956 |      15.55956 |     299.93591 |      -0.00001 |       0.00006 |       0.00006 |       0.00006 |      -0.00001 |       0.00007 |       0.00007 |       2.28649 |      -0.20224 |     118.15325 |     131.07033 |     131.00919 |      12.91708 |     -87.71349 |      -0.20208 |     180.00000 |       0.16844 |      -0.00000 |      -0.04676 |      -0.29353 |       6.27733 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     44.20874 |      38.33701 |      38.33701 |       0.00000 |      20.55984 |      15.55984 |     299.93591 |      -0.00001 |       0.00008 |       0.00008 |       0.00008 |      -0.00001 |       0.00009 |       0.00009 |       2.28673 |      -0.20245 |     118.15327 |     131.07034 |     131.00919 |      12.91708 |      92.28674 |       0.20229 |     180.00000 |      -0.23040 |      -0.00000 |      -0.32307 |      10.60816 |     -32.83548 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     45.21041 |      39.34040 |      39.34040 |       0.00000 |      20.56015 |      15.56015 |     299.93591 |      -0.00001 |       0.00003 |       0.00003 |       0.00003 |      -0.00001 |       0.00003 |       0.00003 |       2.28660 |      -0.20237 |     118.15325 |     131.07033 |     131.00919 |      12.91708 |     -87.71339 |      -0.20221 |     180.00000 |       0.08120 |      -0.00000 |      -0.42147 |     -22.94761 |      54.44707 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     46.20081 |      40.33902 |      40.33902 |       0.00000 |      20.56043 |      15.56043 |     299.93591 |      -0.00001 |       0.00003 |       0.00003 |       0.00003 |      -0.00001 |       0.00004 |       0.00004 |       2.28686 |      -0.20251 |     118.15325 |     131.07033 |     131.00919 |      12.91708 |     -87.71311 |      -0.20235 |     180.00000 |       0.08992 |      -0.00000 |      -0.22472 |     -33.89851 |     150.84807 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
